Instalação,Petróleo (bbl/d),Nº poços produtores,Campos produtores,mes,Gás natural (Mm³/d),Produção (boe/d)
FPSO CIDADE DE SÃO PAULO,86962.1601940906,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-05-01,4810.77403580645,117221.014832246
PETROBRAS 76,85224.6205889806,4,Búzios/Tambuatá,2020-05-01,3459.74258258064,106985.744082322
PETROBRAS 74 (P-74),82388.0664228323,5,Búzios/Tambuatá,2020-05-01,3388.02998967742,103698.131332205
PETROBRAS 67 (P-67),74831.3419252463,5,Anc_Lula/Lula/Sul De Lula,2020-05-01,2634.09251,91399.2833355694
PETROBRAS 57,49443.1332292129,15,Jubarte,2020-05-01,405.982579677419,51996.6865186938
PETROBRAS 68,48169.7449101919,2,Berbigão,2020-05-01,593.386841935484,51902.0354024661
PETROBRAS 40,47849.0194351613,13,Marlim/Marlim Sul,2020-05-01,710.712990645162,52319.2691108511
FPSO ESPIRITO SANTO,44732.0552888516,22,Argonauta/Ostra,2020-05-01,419.426606129032,47370.168950348
PETROBRAS 52,43242.4640397097,11,Roncador,2020-05-01,823.748445806451,48423.6852516275
PETROBRAS 56,37087.4081465323,10,Marlim Sul,2020-05-01,741.485281290323,41751.2096836449
PETROBRAS 55,36547.6836083742,12,Roncador,2020-05-01,591.88337,40270.5175478339
PETROBRAS 50,34873.3193398282,14,Albacora/Albacora Leste,2020-05-01,607.427380645161,38693.922152884
PETROBRAS 51,32335.1279982355,12,Marlim Sul,2020-05-01,508.699783548387,35534.752983796
PETROBRAS 54,30482.3630141871,10,Roncador,2020-05-01,445.447936129032,33284.1458973308
PETROBRAS 62,29077.286416229,12,Roncador,2020-05-01,2314.72807774193,43636.486226891
FPSO CIDADE DE CARAGUATATUBA,28637.003774171,2,Lapa,2020-05-01,902.540457096774,34313.8117666228
PETROBRAS 19,28306.3425784552,10,Marlim/Marlim Sul,2020-05-01,331.881478709677,30393.8140220581
PETROJARL 1,28148.4620576452,3,Atlanta,2020-05-01,205.588741935484,29441.5761825584
PETROBRAS 75 (P-75),163409.341374323,4,Búzios/Tambuatá,2020-06-01,5981.30179366667,201030.593209146
PETROBRAS 69,141819.250874083,6,Anc_Lula/Lula/Sul De Lula,2020-06-01,5160.244528,174276.208508743
FPSO CIDADE DE ILHA BELA,140191.974681391,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-06-01,5786.49338466667,176587.918637201
FPSO CIDADE DE ITAGUAÍ,139036.535188053,7,Lula,2020-06-01,7564.53212466666,186616.004991103
FPSO CIDADE DE SAQUAREMA,138423.59826685,7,Anc_Lula/Lula/Sul De Lula,2020-06-01,6183.02439466667,177313.646934669
PETROBRAS 77,134603.39323592,4,Búzios/Tambuatá,2020-06-01,4743.87853,164441.487852699
PETROBRAS 74 (P-74),130373.94258743,5,Búzios/Tambuatá,2020-06-01,5405.65355833333,164374.476395171
FPSO CIDADE DE MANGARATIBA,129939.30413681,8,Lula,2020-06-01,7429.43852866667,176669.060888803
FPSO CIDADE DE MARICÁ,124586.731409861,7,Anc_Lula/Lula/Sul De Lula,2020-06-01,4642.96048666667,153790.070708502
PETROBRAS 66 (P-66),122680.807763441,7,Anc_Lula/Lula/Sul De Lula,2020-06-01,5262.03623766667,155778.015911479
PETROBRAS 67 (P-67),121625.262600622,5,Anc_Lula/Lula/Sul De Lula,2020-06-01,4301.938187,148683.636428597
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,101886.684068115,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-06-01,1171.49940533333,109255.192742774
FPSO CIDADE DE PARATY,96881.1793795235,5,Anc_Lula/Lula/Sul De Lula,2020-06-01,3692.33992966667,120105.29599254
PETROBRAS 58,96149.0841212467,10,Jubarte,2020-06-01,3418.887625,117653.237693848
FPSO CIDADE DE SÃO PAULO,92934.2698203581,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-06-01,4660.10033466666,122245.415506348
PETROBRAS 76,88132.99383468,4,Búzios/Tambuatá,2020-06-01,3480.33423433333,110023.634905132
PETROBRAS 68,84110.2577037827,3,Berbigão/Sururu,2020-06-01,1658.010339,94538.8277141283
FPSO CIDADE DE ANGRA DOS REIS,65919.5729194356,6,Anc_Lula/Lula/Sul De Lula,2020-06-01,2741.771329,83164.7936422931
PETROBRAS 52,51722.28382447,11,Roncador,2020-06-01,975.750355666666,57859.5681690457
PETROBRAS 40,49375.65006062,13,Marlim/Marlim Sul,2020-06-01,726.199421,53943.30644082
PETROBRAS 57,47467.0281821533,15,Jubarte,2020-06-01,397.822601,49969.2567561491
FPSO ESPIRITO SANTO,40464.717080461,23,Argonauta/Ostra,2020-06-01,376.960729,42835.7284433324
PETROBRAS 55,36983.3112499733,12,Roncador,2020-06-01,593.314022333334,40715.1437207858
PETROBRAS 50,35799.2517772128,15,Albacora/Albacora Leste,2020-06-01,594.956276666667,39541.4137157536
FPSO CIDADE DE ANCHIETA,34885.00337813,6,Jubarte,2020-06-01,1220.26314133333,42560.2266871198
PETROBRAS 56,34303.4202896867,10,Marlim Sul,2020-06-01,801.586560333333,39345.2474527369
PETROBRAS 43,33973.9977807467,13,Barracuda/Caratinga,2020-06-01,651.501005666667,38071.8153211989
PETROBRAS 51,32214.3102166667,12,Marlim Sul,2020-06-01,494.194250333333,35322.6981543558
FPSO CIDADE DE CARAGUATATUBA,29129.46241915,2,Lapa,2020-06-01,931.045248,34985.5601304729
PETROBRAS 62,28959.1574269867,12,Roncador,2020-06-01,2237.70244866667,43033.8806656348
PETROBRAS 76,168649.403930577,4,Búzios/Tambuatá,2020-07-01,6657.72205806452,210525.210708612
PETROBRAS 75 (P-75),162580.234378465,5,Búzios/Tambuatá,2020-07-01,6508.77824935484,203519.212899039
PETROBRAS 77,161326.445971745,4,Búzios/Tambuatá,2020-07-01,5677.61363580645,197037.556994377
PETROBRAS 69,143468.398081623,6,Anc_Lula/Lula/Sul De Lula,2020-07-01,5329.21485741936,176988.146983968
FPSO CIDADE DE ITAGUAÍ,139368.692885123,7,Lula,2020-07-01,7413.26779806451,185996.738814067
FPSO CIDADE DE ILHA BELA,137716.79127706,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-07-01,5706.86380967742,173611.880335807
FPSO CIDADE DE MANGARATIBA,128782.060052752,7,Lula,2020-07-01,7417.01437967742,175433.67126819
FPSO CIDADE DE SAQUAREMA,126870.344153172,7,Anc_Lula/Lula/Sul De Lula,2020-07-01,5658.69318483871,162462.449134102
PETROBRAS 67 (P-67),126028.560851435,6,Anc_Lula/Lula/Sul De Lula,2020-07-01,4430.69064677419,153896.763188422
PETROBRAS 74 (P-74),122347.296308874,5,Búzios/Tambuatá,2020-07-01,5033.21734935484,154005.27712502
PETROBRAS 66 (P-66),119375.820548408,7,Anc_Lula/Lula/Sul De Lula,2020-07-01,5237.09462419355,152316.150686607
FPSO CIDADE DE MARICÁ,116594.162366848,8,Anc_Lula/Lula/Sul De Lula,2020-07-01,4184.28419741936,142912.514954619
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,100334.580036115,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-07-01,1157.80484741935,107616.952543462
PETROBRAS 58,98779.1124436774,11,Baleia Anã/Jubarte,2020-07-01,3441.44237225806,120425.13109113
FPSO CIDADE DE SÃO PAULO,86666.3605523268,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-07-01,4310.21815387097,113776.813798726
PETROBRAS 68,80307.6934356085,3,Berbigão/Sururu,2020-07-01,1600.46390903226,90374.3073352787
FPSO CIDADE DE PARATY,79644.2253424514,5,Anc_Lula/Lula/Sul De Lula,2020-07-01,3046.45169419355,98805.827673107
FPSO CIDADE DE ANGRA DOS REIS,69133.2101134259,6,Anc_Lula/Lula/Sul De Lula,2020-07-01,2865.27690354839,87155.2574341336
PETROBRAS 52,52498.6417683742,12,Roncador,2020-07-01,967.265932580646,58582.5607037793
PETROBRAS 57,48515.5424849774,15,Jubarte,2020-07-01,400.873448709677,51036.960311406
PETROBRAS 40,44778.2753530032,13,Marlim/Marlim Sul,2020-07-01,672.383666129032,49007.4408600583
PETROBRAS 50,36970.1857285712,14,Albacora/Albacora Leste,2020-07-01,671.113085483871,41191.3595247785
PETROBRAS 55,35248.1906016355,11,Roncador,2020-07-01,613.86334483871,39109.2744066354
FPSO ESPIRITO SANTO,34965.9439137663,22,Argonauta/Ostra,2020-07-01,328.210594193548,37030.3261912309
PETROBRAS 43,34953.7869142161,14,Barracuda/Caratinga,2020-07-01,662.318944193549,39119.6472325941
PETROBRAS 54,32748.9589457871,10,Roncador,2020-07-01,456.09336,35617.6995224487
FPSO CIDADE DE CARAGUATATUBA,32303.8290920871,3,Lapa,2020-07-01,1103.09574290323,39242.0917267572
PETROBRAS 56,30856.2475813258,10,Marlim Sul,2020-07-01,551.530289032258,34325.2683085838
FPSO CIDADE DE ANCHIETA,30478.8813000064,6,Jubarte,2020-07-01,1090.30287419355,37336.6792211378
PETROBRAS 19,28176.2210181461,10,Marlim/Marlim Sul,2020-07-01,339.398030322581,30310.9701432494
PETROBRAS 77,165597.864058629,4,Búzios/Tambuatá,2020-08-01,5883.86902516129,202606.282291779
PETROBRAS 76,160636.748015535,4,Búzios/Tambuatá,2020-08-01,6394.50531548387,200856.971493919
PETROBRAS 75,148872.942749158,5,Búzios/Tambuatá,2020-08-01,6406.14505645161,189166.377986678
PETROBRAS 69,141932.923603887,6,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,5445.95491580645,176186.945292875
FPSO CIDADE DE ITAGUAÍ,140115.220289168,7,Tupi,2020-08-01,7336.9595083871,186263.301574616
FPSO CIDADE DE ILHA BELA,136170.38870488,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2020-08-01,5730.46148419355,172213.902652775
PETROBRAS 74,134016.074719977,5,Búzios/Tambuatá,2020-08-01,5748.51973290322,170173.171621189
PETROBRAS 67,133974.698888938,6,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,4785.93114677419,164077.29647523
FPSO CIDADE DE SAQUAREMA,132457.63914475,7,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,5958.00142677419,169932.336098889
FPSO CIDADE DE MARICÁ,129149.412274817,8,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,4776.99242806452,159195.787018781
FPSO CIDADE DE MANGARATIBA,121350.304612687,8,Tupi,2020-08-01,7068.53544451613,165810.049536959
PETROBRAS 66,116926.54613051,7,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,5668.80205645161,152582.2339932
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,99448.1307727139,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-08-01,1145.1453883871,106650.877688045
PETROBRAS 58,97864.9453713645,12,Baleia Anã/Jubarte,2020-08-01,3260.35159451613,118371.937434068
FPSO CIDADE DE SÃO PAULO,92371.3946555552,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2020-08-01,4457.89627193548,120410.715205738
FPSO CIDADE DE PARATY,82513.6976167683,4,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,3202.8401183871,102658.953421801
PETROBRAS 68,82030.8274401802,3,Berbigão/Sururu,2020-08-01,1706.82609935484,92766.4393081633
FPSO CIDADE DE ANGRA DOS REIS,69015.5419670648,5,Anc_Tupi/Sul de Tupi/Tupi,2020-08-01,2847.27124806452,86924.3371358534
PETROBRAS 52,57393.5950971806,12,Roncador,2020-08-01,1064.68250709677,64090.245777143
PETROBRAS 40,48397.2757962387,13,Marlim/Marlim Sul,2020-08-01,692.02550548387,52749.9847408862
PETROBRAS 57,47270.8824186419,15,Jubarte,2020-08-01,395.743575483871,49760.0343171561
FPSO CIDADE DE CARAGUATATUBA,44967.9679067194,3,Lapa,2020-08-01,1768.95025709677,56094.3289233092
PETROBRAS 56,36765.7533500452,10,Marlim Sul,2020-08-01,967.665570967743,42852.1859349738
PETROBRAS 50,34693.1751133415,14,Albacora/Albacora Leste,2020-08-01,752.086321290323,39423.6551778565
PETROBRAS 55,34617.0629503516,11,Roncador,2020-08-01,600.914445483871,38396.7006387005
PETROBRAS 54,32869.8490939871,10,Roncador,2020-08-01,429.839448709677,35573.4575568757
FPSO ESPIRITO SANTO,30135.7946617366,22,Abalone/Argonauta/Ostra,2020-08-01,331.646061612903,32221.78537653
PETROBRAS 43,28405.1978990484,15,Barracuda/Caratinga,2020-08-01,447.003367419355,31216.7641494763
FPSO CIDADE DE ANCHIETA,27762.8703280226,6,Jubarte,2020-08-01,1033.07465258064,34260.7136085708
PETROBRAS 51,27638.8778832129,12,Marlim Sul,2020-08-01,471.567531290323,30604.9480571981
PETROBRAS 75 (P-75),162457.254931227,4,Búzios/Tambuatá,2020-09-01,7030.816926,206679.757540551
PETROBRAS 77,161608.910517667,4,Búzios/Tambuatá,2020-09-01,5745.850023,197749.215450832
PETROBRAS 76,156748.369686223,4,Búzios/Tambuatá,2020-09-01,6288.97712666666,196304.840907303
FPSO CIDADE DE ITAGUAÍ,139658.698034013,7,Tupi,2020-09-01,7341.573429,185835.800003472
PETROBRAS 67 (P-67),134264.553604579,6,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,4962.38432633333,165477.008164193
FPSO CIDADE DE ILHA BELA,131527.314943098,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-09-01,5631.04122666667,166945.494360998
FPSO CIDADE DE MARICÁ,126195.750571517,8,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,4628.51236066667,155308.213902762
PETROBRAS 74 (P-74),123595.449992687,5,Búzios/Tambuatá,2020-09-01,4820.60822766666,153916.15982914701
PETROBRAS 66 (P-66),120375.432964337,7,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,5466.373462,154757.883429359
FPSO CIDADE DE SAQUAREMA,119133.643986335,7,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,5373.013197,152928.876122958
FPSO CIDADE DE MANGARATIBA,113749.18853118,8,Tupi,2020-09-01,6494.12106466667,154595.976144931
PETROBRAS 69,106915.663275291,6,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,4172.796771,133161.762133494
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,96117.4669488186,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-09-01,1108.65580866667,103090.701340728
PETROBRAS 58,94985.1107520767,12,Baleia Anã/Jubarte,2020-09-01,3279.52931533333,115612.727034953
FPSO CIDADE DE PARATY,86098.3296338514,4,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,3347.06837433333,107150.753765417
PETROBRAS 68,80378.0877993399,3,Berbigão/Sururu,2020-09-01,1653.41730566667,90777.7685026952
FPSO CIDADE DE ANGRA DOS REIS,66476.7891057277,5,Anc_Tupi/Sul De Tupi/Tupi,2020-09-01,2719.821763,83583.9512288627
PETROBRAS 52,61080.2023409733,14,Roncador,2020-09-01,1141.84147633333,68262.1682772295
PETROBRAS 40,57652.35443133,13,Marlim/Marlim Sul,2020-09-01,985.289582000001,63849.6386970894
PETROBRAS 57,47035.7610696933,15,Jubarte,2020-09-01,391.618965666666,49498.9699561332
FPSO ESPIRITO SANTO,42101.5103469248,23,Abalone/Argonauta/Ostra,2020-09-01,453.432095666667,44953.51207657
FPSO CIDADE DE CARAGUATATUBA,40776.4147161267,3,Lapa,2020-09-01,1388.68642833333,49510.9884999219
PETROBRAS 56,37020.0709962167,10,Marlim Sul,2020-09-01,1081.71599033333,43823.8590493752
PETROBRAS 50,35518.0721529048,14,Albacora/Albacora Leste,2020-09-01,741.037696,40179.0584635826
PETROBRAS 55,34182.7565746467,11,Roncador,2020-09-01,610.689266666667,38023.8760310193
PETROBRAS 54,31851.4573675767,11,Roncador,2020-09-01,411.675275333333,34440.816631121
PETROBRAS 51,30358.0803588967,12,Marlim Sul,2020-09-01,566.34815,33920.3026162482
FPSO PIONEIRO DE LIBRA,29263.1102015526,1,Mero,2020-09-01,1967.20200466667,41636.4370425251
PETROBRAS 62,27341.06187242,12,Roncador,2020-09-01,2247.80151833333,41479.3063404482
FPSO CIDADE DE ANCHIETA,26846.03495599,6,Jubarte,2020-09-01,954.306744333334,32848.4430595652
PETROBRAS 75,153219.72128152,4,Búzios/Tambuatá,2020-11-01,6629.059991,194915.249103512
PETROBRAS 69,138201.547640991,7,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,5738.39929,174294.988879226
FPSO CIDADE DE SAQUAREMA,130476.7175461,7,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,5854.93222533333,167303.128806323
PETROBRAS 67,126246.378011177,6,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,5087.12385133333,158243.420482532
PETROBRAS 76,125116.25895938,4,Búzios/Tambuatá,2020-11-01,4986.79843,156482.273592378
FPSO CIDADE DE ITAGUAÍ,123051.268211107,7,Tupi,2020-11-01,6396.59755666667,163284.651489004
FPSO CIDADE DE MARICÁ,114541.924304726,6,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,4080.28363666667,140206.133125469
FPSO CIDADE DE ILHA BELA,113142.357950413,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2020-11-01,4965.452522,144374.110877813
PETROBRAS 66,101003.53178102,8,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,5003.21543466667,132472.806254141
PETROBRAS 74,97593.4425439933,5,Búzios/Tambuatá,2020-11-01,4038.346353,122993.873818556
PETROBRAS 77,95660.7097271933,4,Búzios/Tambuatá,2020-11-01,3395.89201033333,117020.225252708
PETROBRAS 68,91880.7539347471,4,Berbigão/Sururu,2020-11-01,1791.73825066667,103150.447101173
PETROBRAS 58,91091.7372315067,12,Baleia Anã/Jubarte,2020-11-01,3086.07128166667,110502.539239646
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,90714.2958411313,9,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-11-01,1055.188938,97351.2337752531
FPSO CIDADE DE SÃO PAULO,88616.2103476172,6,Nordeste de Sapinhoá/Noroeste de Sapinhoa/Sapinhoá/Sudoeste de Sapinhoá,2020-11-01,4669.08862233333,117983.890655256
FPSO CIDADE DE PARATY,78038.6262869635,4,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,3050.19379933333,97223.7657479483
PETROBRAS 52,63278.97315474,14,Roncador,2020-11-01,1195.26029433333,70796.9333066407
FPSO ESPIRITO SANTO,51957.8156726606,22,Abalone/Argonauta/Ostra,2020-11-01,684.69833,56264.4380756779
FPSO CIDADE DE ANGRA DOS REIS,49024.0178950169,5,Anc_Tupi/Sul de Tupi/Tupi,2020-11-01,1907.241571,61020.2050007084
PETROBRAS 40,48471.62824894,14,Marlim/Marlim Sul,2020-11-01,950.777530333334,54451.8382670059
PETROBRAS 70,46890.1286644473,1,Anc_Norte_Atapu/Atapu/Oeste de Atapu,2020-11-01,1648.407122,57258.2962644741
FPSO CIDADE DE MANGARATIBA,46375.7398573433,7,Tupi,2020-11-01,2720.367749,63486.336128681
PETROBRAS 57,45744.5469408267,15,Jubarte,2020-11-01,395.996529333333,48235.2898709928
FPSO CIDADE DE CARAGUATATUBA,42005.2150603633,3,Lapa,2020-11-01,1558.26490133333,51806.4052194187
PETROBRAS 51,33216.4258085033,12,Marlim Sul,2020-11-01,615.718884333334,37089.180604372
PETROBRAS 43,32988.6696918,16,Barracuda/Caratinga,2020-11-01,433.652164666667,35716.259413642
PETROBRAS 55,32781.97395558,10,Roncador,2020-11-01,583.856839666666,36454.3225442838
PETROBRAS 50,31726.8430648077,14,Albacora/Albacora Leste,2020-11-01,764.736119666667,36536.8879576483
FPSO CIDADE DE ANCHIETA,30300.93953165,6,Jubarte,2020-11-01,1106.63490566667,37261.4628276613
PETROBRAS 54,29503.7920748867,11,Roncador,2020-11-01,376.873243333333,31874.2531695371
PETROBRAS 76,144394.537160029,4,Búzios/Tambuatá,2020-12-01,5944.01963709677,181781.291313637
PETROBRAS 69,143675.479452181,7,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,6136.57992548387,182273.401233289
FPSO CIDADE DE SAQUAREMA,133846.748424955,7,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,5898.22124677419,170945.439405128
FPSO CIDADE DE MARICÁ,131775.998976886,7,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,4651.87139774193,161035.386213117
FPSO CIDADE DE ILHA BELA,131321.756740659,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-12-01,5833.24283806452,168011.745875945
FPSO CIDADE DE ITAGUAÍ,126235.364679055,6,Tupi,2020-12-01,6602.81647741935,167765.825786892
PETROBRAS 67 (P-67),112393.182539266,6,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,4707.40176258064,142001.845219563
PETROBRAS 74 (P-74),107733.324510126,5,Búzios/Tambuatá,2020-12-01,4456.03369677419,135760.929816433
FPSO CIDADE DE MANGARATIBA,106472.211518213,8,Tupi,2020-12-01,6342.32157387097,146364.209176762
PETROBRAS 66 (P-66),101742.075080221,8,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,5120.86557290322,133951.346569323
PETROBRAS 77,93824.9943214516,4,Búzios/Tambuatá/Búzios/Tambuatá,2020-12-01,3607.54636032258,116515.775494072
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,93010.3296552399,10,Tartaruga Verde/Tartaruga Verde Sudoeste,2020-12-01,1084.62792967742,99832.4332536042
PETROBRAS 68,89930.6765948941,4,Berbigão/Sururu,2020-12-01,1778.08056483871,101114.465512422
FPSO CIDADE DE PARATY,83840.5922335252,4,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,3182.90048032258,103860.431503663
FPSO CIDADE DE SÃO PAULO,69153.6874866861,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-12-01,3403.67723709677,90562.1706093497
PETROBRAS 58,64772.7170013709,13,Baleia Anã/Jubarte,2020-12-01,2196.51448193548,78588.3757549936
PETROBRAS 52,62318.8632812161,14,Roncador,2020-12-01,1183.59154258064,69763.4292016553
PETROBRAS 40,54103.8012803742,14,Marlim/Marlim Sul,2020-12-01,1071.33236645161,60842.2783122052
PETROBRAS 70,51037.9305308303,1,Anc_Norte_Atapu/Atapu/Oeste De Atapu,2020-12-01,1803.89308612903,62384.0753028956
FPSO CIDADE DE ANGRA DOS REIS,48796.3497254804,4,Anc_Tupi/Sul De Tupi/Tupi,2020-12-01,1919.82149096774,60871.6621375842
PETROBRAS 75 (P-75),48341.9193813258,4,Búzios/Tambuatá,2020-12-01,1989.76311483871,60857.1513186695
PETROBRAS 57,45056.3782876677,15,Jubarte,2020-12-01,384.483352903226,47474.705525592
FPSO CIDADE DE CARAGUATATUBA,44485.559769429,4,Lapa,2020-12-01,1723.64072193548,55326.9324186661
PETROBRAS 53,40758.2934353548,10,Marlim Leste,2020-12-01,608.138633225807,44583.3698920048
PETROBRAS 43,35886.764576371,16,Barracuda/Caratinga,2020-12-01,438.844949354839,38647.0159272725
PETROBRAS 55,33584.5419435484,10,Roncador,2020-12-01,577.618259677419,37217.65104945
PETROBRAS 51,29666.2074134419,12,Marlim Sul,2020-12-01,712.310147741935,34146.5029038106
PETROBRAS 50,29290.7985554871,14,Albacora/Albacora Leste,2020-12-01,506.614704193548,32477.3087880707
PETROBRAS 56,29018.5720543645,9,Marlim Sul,2020-12-01,672.638512258065,33249.3404951504
FPSO PIONEIRO DE LIBRA,28955.2699903028,1,Mero,2020-12-01,1954.38294258065,41247.9673663759
PETROBRAS 77,152033.290247194,4,Búzios/Tambuatá,2020-10-01,5435.91296129032,186224.149950247
PETROBRAS 69,145690.627014343,7,Anc_Tupi/Sul De Tupi/Tupi,2020-10-01,5861.69492677419,182559.574381717
PETROBRAS 76,144185.676917581,4,Búzios/Tambuatá,2020-10-01,5813.57102580645,180751.934091408
PETROBRAS 75 (P-75),143764.63500721,4,Búzios/Tambuatá,2020-10-01,6302.57744064516,183406.649619154
FPSO CIDADE DE ILHA BELA,130692.116548281,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2020-10-01,5654.97080419355,166260.808462206
FPSO CIDADE DE SAQUAREMA,130054.049773679,7,Anc_Tupi/Sul De Tupi/Tupi,2020-10-01,5868.21088741935,166963.981295478
PETROBRAS 74 (P-74),128133.738901487,5,Búzios/Tambuatá,2020-10-01,5299.30259548387,161465.345359588
FPSO CIDADE DE MARICÁ,121200.706118036,8,Anc_Tupi/Sul De Tupi/Tupi,2020-10-01,4377.15225064516,148732.162115666
PETROBRAS 66 (P-66),120415.508521824,6,Anc_Tupi/Sul De Tupi/Tupi,2020-10-01,5634.74685032258,155856.995608451
FPSO CIDADE DE MANGARATIBA,116546.961352045,8,Tupi,2020-10-01,6686.38492774193,158603.052134406
PETROBRAS 67 (P-67),106433.374585212,6,Anc_Tupi/Sul De Tupi/Tupi,2020-10-01,3995.3517741935502,131563.378128052
