Instalação,Petróleo (bbl/d),Gás natural (Mm³/d),Produção (boe/d),Nº poços produtores,Campos Produtores,mes,Campos produtores
PONTO DE COLETA ÁREA DO LUC-04,1081.40500432903,970.506522258064,7185.70663309303,4,Leste Do Urucu,2018-10-01,NA
PEROA,294.612671429032,888.711916451613,5884.44177064555,4,Cangoá/Peroá,2018-10-01,NA
FPSO CAPIXABA,39930.6071926,848.726751290322,45268.9372001334,5,Cachalote³/Jubarte³,2018-10-01,NA
POLO ARARA,10456.2931509197,8218.946472,62151.90485997,38,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2018-11-01,NA
PLATAFORMA DE MEXILHÃO,5205.56416578667,7036.92496533333,49466.4851819899,7,Mexilhão,2018-11-01,NA
FPSO CIDADE DE MANGARATIBA,126133.751040063,6772.94119,168734.264266337,6,Lula,2018-11-01,NA
FPSO CIDADE DE ITAGUAÍ,129404.454336667,6365.29785833333,169440.96845899,5,Lula,2018-11-01,NA
PETROBRAS 66 (P-66),148915.35899593,5847.20003,185693.136216624,7,Lula,2018-11-01,NA
FPSO CIDADE DE SAQUAREMA,141337.832001423,5709.71691566667,177250.866554753,6,Lula,2018-11-01,NA
PLATAFORMA DE MANATI 1,453.941667849667,5245.68651966667,33448.3131961143,6,Manati,2018-11-01,NA
FPSO CIDADE DE MARICÁ,150566.392188863,5144.62272633333,182925.091659182,6,Lula,2018-11-01,NA
FPSO CIDADE DE SÃO PAULO,118250.683693594,5021.95215766667,149837.808594408,5,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2018-11-01,NA
FPSO CIDADE DE PARATY,119471.353661697,4382.69404633333,147037.666501265,6,Lula,2018-11-01,NA
FPSO CIDADE DE ILHA BELA,108638.866626641,4342.43187366667,135951.938049948,7,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2018-11-01,NA
PETROBRAS 58,129908.947417147,4069.70697433333,155506.631041378,13,Baleia Anã/Baleia Azul/Baleia Franca/Jubarte,2018-11-01,NA
FPSO CIDADE DE ANGRA DOS REIS,59857.05863253,3026.84308066667,78895.326509738,6,Lula,2018-11-01,NA
PONTO DE COLETA ÁREA DO LUC-12,3043.203804148,2343.76176833333,17785.0200122287,10,Leste Do Urucu,2018-11-01,NA
PETROBRAS 74 (P-74),65699.1264110767,2263.95518733333,79938.9743879177,3,Búzios,2018-11-01,NA
PETROBRAS 62,29231.3929834067,1860.59051233333,40934.153793786,14,Roncador,2018-11-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,29.4825115510533,1845.339404,11636.3167482243,20,Gavião Branco/Gavião Caboclo,2018-11-01,NA
PLATAFORMA DE PIRANEMA,3210.24144967667,1647.775079,13574.4336193217,5,Piranema,2018-11-01,NA
PETROBRAS 52,78583.7770368366,1560.79378166667,88400.8733727015,16,Roncador,2018-11-01,NA
FPSO CIDADE DE ANCHIETA,40323.6490330867,1489.01478133333,49689.2690948649,5,Baleia Azul/Jubarte/Pirambu,2018-11-01,NA
FPSO CIDADE DE VITÓRIA,17649.72891423,1433.56616266667,26666.5876998324,8,Canapu/Golfinho,2018-11-01,NA
PETROBRAS 56,44887.9041712733,1310.042888,53127.8250286446,10,Marlim Sul,2018-11-01,NA
FPSO CIDADE DE CARAGUATATUBA,30382.2185530733,1284.27566466667,38460.0684714504,2,Lapa,2018-11-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1321.92664211567,1176.93655,8724.63392367116,6,Leste Do Urucu,2018-11-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1041.622098107,993.696279333333,7291.78289282059,4,Leste Do Urucu,2018-11-01,NA
PETROBRAS 69,27231.7491678267,956.7149,33249.3041129957,1,Lula,2018-11-01,NA
PONTO DE COLETA ÁREA DO LUC-43,1343.55205719733,898.153342666667,6992.76593343556,3,Leste Do Urucu,2018-11-01,NA
PEROA,226.89231613,870.941881666666,5704.95127285581,4,Cangoá/Peroá,2018-11-01,NA
FPSO CAPIXABA,39001.55822693,834.876910333334,44252.7753663137,5,Cachalote/Jubarte,2018-11-01,NA
PETROBRAS 40,61964.4825356667,830.916977666667,67190.7924509642,15,Marlim/Marlim Sul,2018-11-01,NA
POLO ARARA,10223.8568812806,7924.43543806451,60067.0501439732,39,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2018-12-01,NA
FPSO CIDADE DE MANGARATIBA,139336.811664306,7599.46587870968,187136.008142873,6,Lula,2018-12-01,NA
PLATAFORMA DE MEXILHÃO,4888.37946287097,6767.59985516129,47455.296707863,7,Mexilhão,2018-12-01,NA
FPSO CIDADE DE ITAGUAÍ,113213.313356742,5849.09790129032,150003.027827257,5,Lula,2018-12-01,NA
FPSO CIDADE DE ILHA BELA,142785.605153903,5773.72499387097,179101.238357603,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2018-12-01,NA
FPSO CIDADE DE SAQUAREMA,140908.2233022,5698.27074935484,176749.2636442,6,Lula,2018-12-01,NA
PETROBRAS 66 (P-66),135391.34776339,5457.14186483871,169715.733236271,7,Lula,2018-12-01,NA
FPSO CIDADE DE MARICÁ,150620.396024097,5150.86483064516,183018.357144537,5,Lula,2018-12-01,NA
FPSO CIDADE DE SÃO PAULO,116400.33335002,4937.98210064516,147459.302546479,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2018-12-01,NA
PETROBRAS 58,142422.992157587,4515.41735870968,170824.109414573,13,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2018-12-01,NA
FPSO CIDADE DE PARATY,117229.537620158,4241.47320580645,143907.598204772,6,Lula,2018-12-01,NA
PLATAFORMA DE MANATI 1,357.208454754839,4127.8466283871,26320.5794564503,6,Manati,2018-12-01,NA
FPSO CIDADE DE ANGRA DOS REIS,74527.6036200806,3701.60702225806,97810.0084847496,5,Lula,2018-12-01,NA
PETROBRAS 62,32266.6258804226,2696.3102616129,49225.905127018,13,Roncador,2018-12-01,NA
PETROBRAS 74 (P-74),73113.5731732419,2553.70169774194,89175.8716487161,3,Búzios,2018-12-01,NA
PONTO DE COLETA ÁREA DO LUC-12,3057.55637955903,2196.45448193548,16872.8377445817,10,Leste Do Urucu,2018-12-01,NA
PLATAFORMA DE PIRANEMA,2481.49439164839,1675.16291806452,13017.9508653198,4,Piranema,2018-12-01,NA
PETROBRAS 52,78763.1981955581,1591.03968451613,88770.5355136245,16,Roncador,2018-12-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1519.27418542097,1364.24987903226,10100.1467170569,6,Leste Do Urucu,2018-12-01,NA
PETROBRAS 56,44078.923552929,1301.50040677419,52265.1138264614,10,Marlim Sul,2018-12-01,NA
FPSO CIDADE DE ANCHIETA,34994.6077811161,1295.37143258064,43142.2479714762,5,Baleia Azul³/Jubarte³/Pirambu,2018-12-01,NA
FPSO CIDADE DE CARAGUATATUBA,26003.4096028968,1203.4560583871,33572.9195535005,2,Lapa,2018-12-01,NA
PETROBRAS 40,69160.8699039129,1181.78935322581,76594.1003957261,16,Marlim/Marlim Sul,2018-12-01,NA
FPSO CIDADE DE VITÓRIA,15991.969750171,1067.29003483871,22705.0212841998,8,Canapu/Golfinho,2018-12-01,NA
PETROBRAS 75 (P-75),24818.1922990032,1007.88212903226,31157.5793930116,1,Búzios,2018-12-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1084.25002742,986.75334451613,7290.741081291,4,Leste Do Urucu,2018-12-01,NA
FPSO CIDADE DE SANTOS,6498.95835632581,974.898111935484,12630.8822497587,8,URUGUÁ,2018-12-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,83642.2077791963,954.359047419355,89644.944859245,6,Anc_Tartaruga Verde/Tartaruga Verde,2018-12-01,NA
PONTO DE COLETA ÁREA DO LUC-43,1287.6685697329,902.80493387096794,6966.14007084386,3,Leste Do Urucu,2018-12-01,NA
PETROBRAS 69,25861.9375732,850.963451612903,31214.3360007894,1,Lula,2018-12-01,NA
POLO ARARA,10565.3783469984,8481.22476032258,63910.6706567229,39,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2019-01-01,NA
PLATAFORMA DE MEXILHÃO,4898.07794409678,6872.40157741935,48124.1781097648,7,Mexilhão,2019-01-01,NA
FPSO CIDADE DE MANGARATIBA,124930.965620516,6760.25759806452,167451.701463398,6,Lula,2019-01-01,NA
FPSO CIDADE DE ITAGUAÍ,124965.393199897,6541.10360387097,166107.69205856,5,Lula,2019-01-01,NA
FPSO CIDADE DE ILHA BELA,140080.465282568,5785.34163516129,176469.164952822,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-01-01,NA
FPSO CIDADE DE SAQUAREMA,143368.910596574,5732.66381354839,179426.276777669,8,Lula,2019-01-01,NA
FPSO CIDADE DE MARICÁ,150146.765215213,5104.17285612903,182251.042687422,7,Lula,2019-01-01,NA
PETROBRAS 66 (P-66),128066.107212219,5025.46550612903,159675.330407325,7,Lula,2019-01-01,NA
PETROBRAS 58,134415.656204423,4378.97184774194,161958.557122068,13,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2019-01-01,NA
FPSO CIDADE DE PARATY,116605.821799819,4296.7474583871,143631.546931057,6,Lula,2019-01-01,NA
FPSO CIDADE DE ANGRA DOS REIS,74072.1889125452,3894.24338225806,98566.2398807058,5,Lula,2019-01-01,NA
FPSO CIDADE DE SÃO PAULO,94952.0106154541,3802.23703322581,118867.359129408,5,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-01-01,NA
PETROBRAS 62,31530.1560854645,2605.44806709677,47917.9293923705,13,Roncador,2019-01-01,NA
PLATAFORMA DE MANATI 1,232.929113450323,2567.38921806452,16381.3194911247,6,Manati,2019-01-01,NA
FPSO PIONEIRO DE LIBRA,34231.6029476112,2273.85252096774,48533.7032725193,1,Mero,2019-01-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2979.20928881645,2158.50428322581,16555.791114493,10,Leste Do Urucu,2019-01-01,NA
FPSO CIDADE DE SANTOS,9050.12355306451,1950.49591258065,21318.3722489734,8,Tambaú/Uruguá,2019-01-01,NA
PETROBRAS 74 (P-74),49587.4600210613,1752.70092354839,60611.6158170052,3,Búzios,2019-01-01,NA
PETROBRAS 52,77455.5284358193,1552.32216935484,87219.3399398491,16,Roncador,2019-01-01,NA
PLATAFORMA DE PIRANEMA,2191.01676305161,1489.08866387097,11557.1015319539,4,Piranema,2019-01-01,NA
FPSO CIDADE DE ANCHIETA,36825.6749496355,1364.45078612903,45407.8111487377,5,Baleia Azul³/Jubarte³/Pirambu,2019-01-01,NA
ESTAÇÃO DE PRODUÇÃO E ESCOAMENTO DE GAVIÃO BRANCO,21.4394139024645,1333.35894,8408.01380830386,17,Gavião Branco/Gavião Caboclo,2019-01-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1415.34014759839,1294.30940354839,9556.30037713107,6,Leste Do Urucu,2019-01-01,NA
FPSO CIDADE DE CARAGUATATUBA,26189.3810238581,1098.19524612903,33096.8204649129,2,Lapa,2019-01-01,NA
PETROBRAS 56,42552.8127498323,1088.00821354839,49396.177691491,10,Marlim Sul,2019-01-01,NA
PETROBRAS 40,68682.647533729,1055.64922258064,75322.480570409,16,Marlim/Marlim Sul,2019-01-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,84959.2249107928,971.037652580644,91066.867248371,6,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-01-01,NA
FPSO CIDADE DE VITÓRIA,14735.0891916968,970.336038064516,20838.3185072754,7,Golfinho,2019-01-01,NA
PONTO DE COLETA ÁREA DO LUC-09,913.177948966129,909.248037741935,6632.17534923573,4,Leste Do Urucu,2019-01-01,NA
PETROBRAS 69,26904.4431461355,900.504612903226,32568.4460654203,1,Lula,2019-01-01,NA
POLO ARARA,10515.445878725,8975.12292857143,66967.2638260829,38,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2019-02-01,NA
FPSO CIDADE DE ITAGUAÍ,124402.119772518,6571.37849857143,165734.841966617,5,Lula,2019-02-01,NA
PLATAFORMA DE MEXILHÃO,4664.95439725714,6348.95866178571,44598.6980777435,7,Mexilhão,2019-02-01,NA
FPSO CIDADE DE MANGARATIBA,109351.395161489,5902.70067857143,146478.260916575,6,Lula,2019-02-01,NA
FPSO CIDADE DE SAQUAREMA,142983.063144146,5809.49769714286,179523.699854613,6,Lula,2019-02-01,NA
FPSO CIDADE DE ILHA BELA,143337.212551764,5796.54349392857,179796.369785311,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-02-01,NA
FPSO CIDADE DE MARICÁ,145969.184137057,4897.81072678571,176775.483024501,6,Lula,2019-02-01,NA
PETROBRAS 66 (P-66),125629.461629621,4762.03118071429,155581.73297039,7,Lula,2019-02-01,NA
FPSO CIDADE DE SÃO PAULO,117767.94711158,4734.85733678572,147549.300137068,5,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-02-01,NA
PLATAFORMA DE MANATI 1,378.650605449286,4544.09470357143,28960.1429129199,6,Manati,2019-02-01,NA
FPSO CIDADE DE PARATY,115422.964479014,4325.97041357143,142632.496446,6,Lula,2019-02-01,NA
PETROBRAS 58,105514.125847575,3452.06191678571,127226.939412393,12,Baleia Anã³/Baleia Azul³/Baleia Franca³/Jubarte³,2019-02-01,NA
FPSO CIDADE DE ANGRA DOS REIS,70109.225644275,3435.9090725,91720.4408875762,6,Lula,2019-02-01,NA
FPSO PIONEIRO DE LIBRA,41826.1872810694,2769.99464928571,59248.9273260932,1,Mero,2019-02-01,NA
PETROBRAS 74 (P-74),59905.5072418714,2135.58195107143,73337.91195354,3,Búzios,2019-02-01,NA
PONTO DE COLETA ÁREA DO LUC-12,2929.6755640625,2130.14888321428,16327.9073111925,10,Leste Do Urucu,2019-02-01,NA
FPSO CIDADE DE SANTOS,8620.57547176428,2104.7535835714302,21859.0756092477,8,Tambaú/Uruguá,2019-02-01,NA
PETROBRAS 62,25572.9814554393,1595.94477892857,35611.170885392,13,Roncador,2019-02-01,NA
PETROBRAS 52,74961.2839181464,1478.21745214286,84258.9908308091,16,Roncador,2019-02-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1423.41051005643,1403.67195178571,10252.2403891177,6,Leste Do Urucu,2019-02-01,NA
PETROBRAS 69,37960.5892806643,1362.05738464286,46527.6714391648,2,Lula,2019-02-01,NA
PLATAFORMA DE PIRANEMA,2127.65627506071,1332.83238178571,10510.9187183403,3,Piranema,2019-02-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,104911.790989674,1229.0780775,112642.458572314,7,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-02-01,NA
FPSO CIDADE DE ANCHIETA,33030.3801175429,1217.28116071429,40686.8473350152,5,Baleia Azul³/Jubarte³/Pirambu,2019-02-01,NA
PETROBRAS 40,67035.2000638928,1136.63190928571,74184.3988132372,16,Marlim/Marlim Sul,2019-02-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1080.76277704714,1073.32187178571,7831.75341942365,4,Leste Do Urucu,2019-02-01,NA
PONTO DE COLETA ÁREA DO LUC-43,1384.65404865286,1030.17046678571,7864.23055234631,3,Leste Do Urucu,2019-02-01,NA
PETROBRAS 56,41339.8773112322,1017.97838321429,47742.7679257572,10,Marlim Sul,2019-02-01,NA
FPSO CIDADE DE CARAGUATATUBA,23836.5064351643,933.608944642857,29708.7293112684,2,Lapa,2019-02-01,NA
PEROA,262.015513714286,888.815302857143,5852.49489377817,4,Cangoá/Peroá,2019-02-01,NA
POLO ARARA,10892.7950152397,8955.9655983871,67224.1169956308,38,Arara Azul/Araracanga/Carapanaúba/Cupiúba/Rio Urucu/Sudoeste Urucu,2019-03-01,NA
PLATAFORMA DE MEXILHÃO,5078.38447811613,6751.56431774194,47544.4412394925,7,Mexilhão,2019-03-01,NA
FPSO CIDADE DE ITAGUAÍ,120744.184028581,6389.30070322581,160931.671484737,5,Lula,2019-03-01,NA
FPSO CIDADE DE MANGARATIBA,118044.098449723,6268.81891774194,157473.778366725,6,Lula,2019-03-01,NA
FPSO CIDADE DE ILHA BELA,143991.278112952,5941.2280332258,181360.473608616,8,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-03-01,NA
FPSO CIDADE DE SAQUAREMA,141825.431801994,5835.0294916129,178526.658648635,6,Lula,2019-03-01,NA
FPSO CIDADE DE MARICÁ,150011.061549977,5007.79174483871,181509.120144581,6,Lula,2019-03-01,NA
PETROBRAS 66 (P-66),136813.8714827,4892.30251032258,167585.524735152,7,Lula,2019-03-01,NA
FPSO CIDADE DE SÃO PAULO,116685.142049965,4764.13635935484,146650.654564399,6,Nordeste De Sapinhoá/Noroeste De Sapinhoa/Sapinhoá/Sudoeste De Sapinhoá,2019-03-01,NA
PETROBRAS 58,122743.266224997,3957.51204774194,147635.265078004,13,Baleia Anã/Baleia Azul/Baleia Franca/Jubarte,2019-03-01,NA
FPSO CIDADE DE PARATY,105185.943344242,3880.52826580645,129593.728835794,6,Lula,2019-03-01,NA
FPSO CIDADE DE ANGRA DOS REIS,69952.6798820161,3520.36424870968,92095.1021371927,6,Lula,2019-03-01,NA
PLATAFORMA DE MANATI 1,300.229674656129,2858.23831258065,18278.005595509,6,Manati,2019-03-01,NA
PETROBRAS 74 (P-74),64192.4353625387,2306.20582709677,78698.0318358703,3,Búzios,2019-03-01,NA
FPSO PIONEIRO DE LIBRA,31320.9446423444,2104.86939419355,44560.1732066369,1,Mero,2019-03-01,NA
PETROBRAS 69,59868.1889585677,2039.07478,72693.5819005595,3,Lula,2019-03-01,NA
PONTO DE COLETA ÁREA DO LUC-12,3013.16533534419,1978.59705290323,15458.1648646654,9,Leste Do Urucu,2019-03-01,NA
FPSO CIDADE DE SANTOS,7307.25372354193,1878.25591806452,19121.1265795433,8,Tambaú/Uruguá,2019-03-01,NA
PETROBRAS 62,20608.8708685871,1687.60530322581,31223.5875808698,14,Roncador,2019-03-01,NA
PONTO DE COLETA ÁREA DO LUC-04,1522.2218744429,1515.4899,11054.3654023619,6,Leste Do Urucu,2019-03-01,NA
PETROBRAS 52,72794.2415485129,1436.35700387097,81828.6541950305,16,Lula,2019-03-01,NA
PLATAFORMA DE PIRANEMA,2066.48866990645,1394.00750129032,10834.5309915973,3,Piranema,2019-03-01,NA
FPSO CIDADE DE ANCHIETA,36333.0793491161,1350.17998096774,44825.4548952068,5,Baleia Azul/Jubarte/Pirambu,2019-03-01,NA
FPSO CIDADE DE CAMPOS DOS GOYTACAZES,102622.131382767,1207.46542419355,110216.859482514,7,Tartaruga Verde/Tartaruga Verde Sudoeste,2019-03-01,NA
PONTO DE COLETA ÁREA DO LUC-09,1005.41618654226,1053.09459258065,7629.18108590193,3,Leste Do Urucu,2019-03-01,NA
